paper_id	MethodTag_codes	MethodFamily_codes	Methodology_codes	MethodTransparency_codes	MethodNormativity_codes	coder_notes_rule_code
1.0	20.0	102.0	3.0	1.0		906.0
2.0	20.0	102.0	3.0	1.0	1.0	906.0
3.0	20.0	102.0	3.0	1.0	1.0	906.0
4.0	20.0	102.0	3.0	1.0	1.0	906.0
5.0	10.0	199.0	1.0	1.0	1.0	902.0
6.0				1.0	1.0	902.0
7.0	10.0	199.0	1.0	1.0		902.0
8.0	30.0	107.0		3.0	2.0	909.0
9.0	10.0	199.0	1.0	1.0		902.0
10.0	20.0	102.0	3.0	1.0	1.0	906.0
11.0	20.0	102.0	3.0	1.0	1.0	906.0
12.0	20.0	102.0	3.0	1.0		906.0
13.0		199.0	1.0	1.0	1.0	902.0
14.0	20.0	102.0	3.0	2.0	2.0	906.0
15.0	20.0	102.0	3.0	1.0	2.0	906.0
16.0	20.0		2.0	1.0	2.0	906.0
17.0	20.0	102.0			2.0	906.0
18.0	20.0	102.0	3.0	1.0		906.0
19.0	20.0		3.0	1.0	2.0	902.0
20.0	20.0	105.0			2.0	907.0
21.0	20.0	102.0	3.0	2.0	2.0	906.0
22.0	20.0	102.0	3.0	2.0	2.0	906.0
23.0	20.0	102.0	3.0	1.0		906.0
24.0	20.0	102.0	3.0	1.0	2.0	906.0
25.0	20.0	102.0	3.0		2.0	906.0
26.0	20.0	102.0	3.0	1.0	2.0	906.0
27.0	20.0	102.0	3.0		2.0	906.0
28.0	20.0	102.0	3.0	1.0	2.0	906.0
29.0	20.0	102.0	3.0	1.0	2.0	906.0
30.0	20.0	102.0	3.0	2.0	2.0	906.0
31.0	20.0	102.0	3.0	2.0	2.0	906.0
32.0	20.0	102.0	3.0	1.0	2.0	906.0
33.0	20.0	102.0	3.0		2.0	906.0
34.0	20.0	102.0	3.0	1.0		906.0
35.0	20.0	102.0	3.0	1.0	2.0	906.0
36.0	20.0	102.0	3.0	1.0	2.0	906.0
37.0	20.0	102.0	3.0	1.0	2.0	906.0
38.0	20.0	102.0	3.0	1.0	2.0	906.0
39.0	20.0	102.0	3.0	2.0	2.0	906.0
40.0	20.0	102.0	3.0	2.0	2.0	906.0
41.0	20.0	101.0	3.0	2.0	2.0	905.0
42.0	20.0	102.0	3.0	2.0	2.0	906.0
43.0	20.0	102.0	3.0		2.0	906.0
44.0	20.0		3.0	1.0	2.0	905.0
45.0	20.0	102.0	3.0	1.0	2.0	906.0
46.0	20.0		3.0	1.0	2.0	905.0
47.0	20.0	102.0	3.0	1.0	2.0	906.0
48.0	20.0	102.0	3.0	2.0	2.0	906.0
49.0	20.0	102.0	3.0	2.0	2.0	906.0
50.0	20.0	102.0	3.0	2.0	2.0	906.0
51.0	20.0		3.0	2.0	2.0	902.0
52.0	20.0	102.0	3.0	2.0	2.0	906.0
53.0	20.0		3.0	2.0	2.0	902.0
54.0	20.0	102.0	3.0	2.0		906.0
55.0	20.0		3.0	2.0	2.0	902.0
56.0	20.0	102.0	3.0		2.0	906.0
57.0	20.0	102.0	3.0		2.0	906.0
58.0	20.0	102.0	3.0	2.0	2.0	906.0
59.0	20.0	102.0	3.0	2.0	2.0	906.0
60.0	20.0	102.0	3.0		2.0	906.0
61.0	20.0		3.0	2.0	2.0	902.0
62.0	20.0	102.0	3.0	1.0	2.0	906.0
63.0	20.0	199.0		2.0		902.0
64.0	20.0	199.0		2.0		902.0
65.0	20.0	102.0	3.0	2.0	2.0	906.0
66.0	20.0		3.0	2.0	2.0	905.0
67.0	20.0	101.0	3.0	1.0	2.0	905.0
68.0	20.0	102.0	3.0	1.0	2.0	906.0
69.0	20.0	102.0		2.0	2.0	906.0
70.0	20.0			2.0	2.0	906.0
71.0	20.0			2.0	2.0	906.0
72.0		107.0		2.0	2.0	909.0
73.0		107.0	2.0	2.0	2.0	909.0
74.0		107.0	2.0	2.0	2.0	909.0
75.0	30.0	107.0		1.0	2.0	909.0
76.0		107.0	2.0	2.0	2.0	909.0
77.0		107.0	2.0	2.0	2.0	909.0
78.0	20.0	102.0	3.0	1.0	2.0	906.0
79.0	20.0	103.0	3.0	2.0	2.0	908.0
80.0	20.0	102.0	3.0	1.0		906.0
