paper_id	MethodTag_codes	MethodFamily_codes	Methodology_codes	MethodTransparency_codes	MethodNormativity_codes	coder_notes_rule_code
1	20	102	3	1		906
2	20	102	3	1	1	906
3	20	102	3	1	1	906
4	20	102	3	1	1	906
5	10	199	1	1	1	902
6				1	1	902
7	10	199	1	1		902
8	30	107		3	2	909
9	10	199	1	1		902
10	20	102	3	1	1	906
11	20	102	3	1	1	906
12	20	102	3	1		906
13		199	1	1	1	902
14	20	102	3	2	2	906
15	20	102	3	1	2	906
16	20		2	1	2	906
17	20	102			2	906
18	20	102	3	1		906
19	20		3	1	2	902
20	20	105			2	907
21	20	102	3	2	2	906
22	20	102	3	2	2	906
23	20	102	3	1		906
24	20	102	3	1	2	906
25	20	102	3		2	906
26	20	102	3	1	2	906
27	20	102	3		2	906
28	20	102	3	1	2	906
29	20	102	3	1	2	906
30	20	102	3	2	2	906
31	20	102	3	2	2	906
32	20	102	3	1	2	906
33	20	102	3		2	906
34	20	102	3	1		906
35	20	102	3	1	2	906
36	20	102	3	1	2	906
37	20	102	3	1	2	906
38	20	102	3	1	2	906
39	20	102	3	2	2	906
40	20	102	3	2	2	906
41	20	101	3	2	2	905
42	20	102	3	2	2	906
43	20	102	3		2	906
44	20		3	1	2	905
45	20	102	3	1	2	906
46	20		3	1	2	905
47	20	102	3	1	2	906
48	20	102	3	2	2	906
49	20	102	3	2	2	906
50	20	102	3	2	2	906
51	20		3	2	2	902
52	20	102	3	2	2	906
53	20		3	2	2	902
54	20	102	3	2		906
55	20		3	2	2	902
56	20	102	3		2	906
57	20	102	3		2	906
58	20	102	3	2	2	906
59	20	102	3	2	2	906
60	20	102	3		2	906
61	20		3	2	2	902
62	20	102	3	1	2	906
63	20	199		2		902
64	20	199		2		902
65	20	102	3	2	2	906
66	20		3	2	2	905
67	20	101	3	1	2	905
68	20	102	3	1	2	906
69	20	102		2	2	906
70	20			2	2	906
71	20			2	2	906
72		107		2	2	909
73		107	2	2	2	909
74		107	2	2	2	909
75	30	107		1	2	909
76		107	2	2	2	909
77		107	2	2	2	909
78	20	102	3	1	2	906
79	20	103	3	2	2	908
80	20	102	3	1		906
