paper_id,MethodTag,MethodFamily,Methodology,PolicySalience,PoliticalSensitivity,SecrecyConstraint,DataAccess,MethodNormativity,MethodTransparency,ObjectiveFit,TheoryFit,DecisionCoupling,Acceptance,coder_notes
1,20,102,3,2,3,0,2,,1,,,,,PS=2[对策]; Pol=3[国防]; Sec=0; DA=2[编码\b]
2,20,102,3,2,0,0,0,1,1,,,,,PS=2[路径]; Pol=0; Sec=0; DA=0
3,20,102,3,3,3,0,0,1,1,,,,,PS=3[规范]; Pol=3[核]; Sec=0; DA=0
4,20,102,3,3,0,0,0,1,1,,,,,PS=3[规范]; Pol=0; Sec=0; DA=0
5,10,199,1,3,3,0,0,1,1,,,,,PS=3[规范]; Pol=3[核]; Sec=0; DA=0
6,,,,3,3,0,0,1,1,,,,,PS=3[规范]; Pol=3[台海]; Sec=0; DA=0
7,10,199,1,3,3,0,0,,1,,,,,PS=3[规范]; Pol=3[香港]; Sec=0; DA=0
8,30,107,,3,3,0,0,2,3,,,,,PS=3[标准]; Pol=3[核]; Sec=0; DA=0
9,10,199,1,3,0,0,0,,1,,,,,PS=3[规范]; Pol=0; Sec=0; DA=0
10,20,102,3,2,3,3,0,1,1,,,,,PS=2[路径]; Pol=3[军事]; Sec=3[军事]; DA=0
11,20,102,3,3,0,0,0,1,1,,,,,PS=3[规范]; Pol=0; Sec=0; DA=0
12,20,102,3,2,3,0,3,,1,,,,,PS=2[框架]; Pol=3[意识形态]; Sec=0; DA=3[数据库]
13,,199,1,3,0,0,0,1,1,,,,,PS=3[指南]; Pol=0; Sec=0; DA=0
14,20,102,3,3,0,1,1,2,2,,,,,PS=3[规范]; Pol=0; Sec=1[白皮书]; DA=1[文献综述]
15,20,102,3,2,3,0,1,2,1,,,,,PS=2[路径]; Pol=3[核]; Sec=0; DA=1[话语分析]
16,20,,2,0,0,0,3,2,1,,,,,PS=0; Pol=0; Sec=0; DA=3[面板数据]
17,20,102,,3,3,0,0,2,,,,,,PS=3[规范]; Pol=3[对抗]; Sec=0; DA=0
18,20,102,3,2,3,0,0,,1,,,,,PS=2[路径]; Pol=3[情报]; Sec=0; DA=0
19,20,,3,3,3,0,3,2,1,,,,,PS=3[规范]; Pol=3[恐怖主义]; Sec=0; DA=3[数据库]
20,20,105,,3,0,0,3,2,,,,,,PS=3[条例]; Pol=0; Sec=0; DA=3[实验]
21,20,102,3,3,3,3,0,2,2,,,,,PS=3[规定]; Pol=3[军事]; Sec=3[军事]; DA=0
22,20,102,3,2,3,3,0,2,2,,,,,PS=2[框架]; Pol=3[军事]; Sec=3[军事]; DA=0
23,20,102,3,3,2,0,0,,1,,,,,PS=3[规范]; Pol=2[边境]; Sec=0; DA=0
