paper_id,MethodTag,MethodFamily,Methodology,PolicySalience,PoliticalSensitivity,SecrecyConstraint,DataAccess,MethodNormativity,MethodTransparency,ObjectiveFit,TheoryFit,DecisionCoupling,Acceptance,coder_notes
1,20,102,3,0,0,0,0,,1,,,,,
2,20,102,3,0,0,0,0,1,1,,,,,
3,20,102,3,0,0,0,0,1,1,,,,,
4,20,102,3,0,0,0,0,1,1,,,,,
5,10,199,1,0,0,0,0,1,1,,,,,
6,,,,0,0,0,0,1,1,,,,,
7,10,199,1,0,0,0,0,,1,,,,,
8,30,107,,0,0,0,0,2,3,,,,,
9,10,199,1,0,0,0,0,,1,,,,,
10,20,102,3,0,0,0,0,1,1,,,,,
11,20,102,3,0,0,0,0,1,1,,,,,
12,20,102,3,0,0,0,0,,1,,,,,
13,,199,1,0,0,0,0,1,1,,,,,
14,20,102,3,0,0,0,0,2,2,,,,,
15,20,102,3,0,0,0,0,2,1,,,,,
16,20,,2,0,0,0,0,2,1,,,,,
17,20,102,,0,0,0,0,2,,,,,,
18,20,102,3,0,0,0,0,,1,,,,,
19,20,,3,0,0,0,0,2,1,,,,,
20,20,105,,0,0,0,0,2,,,,,,
21,20,102,3,0,0,0,0,2,2,,,,,
22,20,102,3,0,0,0,0,2,2,,,,,
23,20,102,3,0,0,0,0,,1,,,,,
24,20,102,3,0,0,0,0,2,1,,,,,
25,20,102,3,0,0,0,0,2,,,,,,
26,20,102,3,0,0,0,0,2,1,,,,,
27,20,102,3,0,0,0,0,2,,,,,,
28,20,102,3,0,0,0,0,2,1,,,,,
29,20,102,3,0,0,0,0,2,1,,,,,
30,20,102,3,0,0,0,0,2,2,,,,,
31,20,102,3,0,0,0,0,2,2,,,,,
32,20,102,3,0,0,0,0,2,1,,,,,
33,20,102,3,0,0,0,0,2,,,,,,
34,20,102,3,0,0,0,0,,1,,,,,
35,20,102,3,0,0,0,0,2,1,,,,,
36,20,102,3,0,0,0,0,2,1,,,,,
37,20,102,3,0,0,0,0,2,1,,,,,
38,20,102,3,0,0,0,0,2,1,,,,,
39,20,102,3,0,0,0,0,2,2,,,,,
40,20,102,3,0,0,0,0,2,2,,,,,
41,20,101,3,0,0,0,0,2,2,,,,,
42,20,102,3,0,0,0,0,2,2,,,,,
43,20,102,3,0,0,0,0,2,,,,,,
44,20,,3,0,0,0,0,2,1,,,,,
45,20,102,3,0,0,0,0,2,1,,,,,
46,20,,3,0,0,0,0,2,1,,,,,
47,20,102,3,0,0,0,0,2,1,,,,,
48,20,102,3,0,0,0,0,2,2,,,,,
49,20,102,3,0,0,0,0,2,2,,,,,
50,20,102,3,0,0,0,0,2,2,,,,,
51,20,,3,0,0,0,0,2,2,,,,,
52,20,102,3,0,0,0,0,2,2,,,,,
53,20,,3,0,0,0,0,2,2,,,,,
54,20,102,3,0,0,0,0,,2,,,,,
55,20,,3,0,0,0,0,2,2,,,,,
56,20,102,3,0,0,0,0,2,,,,,,
57,20,102,3,0,0,0,0,2,,,,,,
58,20,102,3,0,0,0,0,2,2,,,,,
59,20,102,3,0,0,0,0,2,2,,,,,
60,20,102,3,0,0,0,0,2,,,,,,
61,20,,3,0,0,0,0,2,2,,,,,
62,20,102,3,0,0,0,0,2,1,,,,,
63,20,199,,0,0,0,0,,2,,,,,
64,20,199,,0,0,0,0,,2,,,,,
65,20,102,3,0,0,0,0,2,2,,,,,
66,20,,3,0,0,0,0,2,2,,,,,
67,20,101,3,0,0,0,0,2,1,,,,,
68,20,102,3,0,0,0,0,2,1,,,,,
69,20,102,,0,0,0,0,2,2,,,,,
70,20,,,0,0,0,0,2,2,,,,,
71,20,,,0,0,0,0,2,2,,,,,
72,,107,,0,0,0,0,2,2,,,,,
73,,107,2,0,0,0,0,2,2,,,,,
74,,107,2,0,0,0,0,2,2,,,,,
75,30,107,,0,0,0,0,2,1,,,,,
76,,107,2,0,0,0,0,2,2,,,,,
77,,107,2,0,0,0,0,2,2,,,,,
78,20,102,3,0,0,0,0,2,1,,,,,
79,20,103,3,0,0,0,0,2,2,,,,,
80,20,102,3,0,0,0,0,,1,,,,,
