paper_id,E_EXP,E_EXP_evidence,E_STAT,E_STAT_evidence,E_SURVEY,E_SURVEY_evidence,E_CASE,E_CASE_evidence,E_ETHNO,E_ETHNO_evidence,E_TEXT,E_TEXT_evidence,E_MODEL,E_MODEL_evidence,E_POLICYEVAL,E_POLICYEVAL_evidence,E_MIXED,E_MIXED_evidence,E_NORM,E_NORM_evidence
1,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
2,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
3,0,,0,,0,,1,比较(?!.*优势),0,,0,,0,,0,,0,,0,
4,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,思想
5,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,理论阐释
6,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,政策解读
7,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,思想
8,0,,0,,0,,0,,0,,1,文本分析,1,网络分析,0,,0,,1,法治
9,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
10,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
11,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,政策解读
12,0,,0,,0,,1,案例,0,,1,文本分析,0,,0,,0,,0,
13,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
14,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,1,政策解读
15,0,,1,计量,0,,1,比较(?!.*优势),0,,1,话语分析,0,,0,,0,,0,
16,0,,1,回归,1,普查,1,比较(?!.*优势),0,,0,,1,模型,0,,0,,0,
17,0,,0,,1,普查,1,案例,0,,0,,0,,0,,0,,0,
18,0,,0,,0,,1,案例,0,,0,,1,模型,0,,0,,0,
19,0,,0,,0,,1,案例,0,,0,,0,,0,,0,,0,
20,1,实验,0,,0,,1,案例,0,,0,,0,,0,,1,跨学科,1,法理
21,0,,0,,0,,1,比较(?!.*优势),0,,1,文本分析,0,,0,,0,,1,价值
22,1,干预,0,,0,,1,历史(研究|比较)?,0,,0,,0,,0,,0,,1,思想
23,0,,0,,0,,1,历史(研究|比较)?,0,,0,,1,模型,0,,0,,0,
24,0,,1,计量,0,,1,案例,0,,0,,0,,0,,0,,1,理论阐释
