paper_id,E_EXP,E_STAT,E_SURVEY,E_CASE,E_ETHNO,E_TEXT,E_MODEL,E_POLICYEVAL,E_MIXED,E_NORM,rater,decision_notes
1,,,,,,,,,,,Q,
2,,,,,,,,,,,Q,
3,,,,,,,,,,,Q,
4,,,,,,,,,,,Q,
5,,,,,,,,,,,Q,
6,,,,,,,,,,,Q,
7,,,,,,,,,,,Q,
8,,,,,,,,,,,Q,
9,,,,,,,,,,,Q,
10,,,,,,,,,,,Q,
11,,,,,,,,,,,Q,
12,,,,,,,,,,,Q,
13,,,,,,,,,,,Q,
14,,,,,,,,,,,Q,
15,,,,,,,,,,,Q,
16,,,,,,,,,,,Q,
17,,,,,,,,,,,Q,
18,,,,,,,,,,,Q,
19,,,,,,,,,,,Q,
20,,,,,,,,,,,Q,
21,,,,,,,,,,,Q,
22,,,,,,,,,,,Q,
23,,,,,,,,,,,Q,
24,,,,,,,,,,,Q,
25,,,,,,,,,,,Q,
26,,,,,,,,,,,Q,
27,,,,,,,,,,,Q,
28,,,,,,,,,,,Q,
29,,,,,,,,,,,Q,
30,,,,,,,,,,,Q,
31,,,,,,,,,,,Q,
32,,,,,,,,,,,Q,
33,,,,,,,,,,,Q,
34,,,,,,,,,,,Q,
35,,,,,,,,,,,Q,
36,,,,,,,,,,,Q,
37,,,,,,,,,,,Q,
38,,,,,,,,,,,Q,
39,,,,,,,,,,,Q,
40,,,,,,,,,,,Q,
41,,,,,,,,,,,Q,
42,,,,,,,,,,,Q,
43,,,,,,,,,,,Q,
44,,,,,,,,,,,Q,
45,,,,,,,,,,,Q,
46,,,,,,,,,,,Q,
47,,,,,,,,,,,Q,
48,,,,,,,,,,,Q,
49,,,,,,,,,,,Q,
50,,,,,,,,,,,Q,
51,,,,,,,,,,,Q,
52,,,,,,,,,,,Q,
53,,,,,,,,,,,Q,
54,,,,,,,,,,,Q,
55,,,,,,,,,,,Q,
56,,,,,,,,,,,Q,
57,,,,,,,,,,,Q,
58,,,,,,,,,,,Q,
59,,,,,,,,,,,Q,
60,,,,,,,,,,,Q,
61,,,,,,,,,,,Q,
62,,,,,,,,,,,Q,
63,,,,,,,,,,,Q,
64,,,,,,,,,,,Q,
65,,,,,,,,,,,Q,
66,,,,,,,,,,,Q,
67,,,,,,,,,,,Q,
68,,,,,,,,,,,Q,
69,,,,,,,,,,,Q,
70,,,,,,,,,,,Q,
71,,,,,,,,,,,Q,
72,,,,,,,,,,,Q,
73,,,,,,,,,,,Q,
74,,,,,,,,,,,Q,
75,,,,,,,,,,,Q,
76,,,,,,,,,,,Q,
77,,,,,,,,,,,Q,
78,,,,,,,,,,,Q,
79,,,,,,,,,,,Q,
80,,,,,,,,,,,Q,
81,,,,,,,,,,,Q,
82,,,,,,,,,,,Q,
83,,,,,,,,,,,Q,
84,,,,,,,,,,,Q,
85,,,,,,,,,,,Q,
86,,,,,,,,,,,Q,
87,,,,,,,,,,,Q,
88,,,,,,,,,,,Q,
89,,,,,,,,,,,Q,
90,,,,,,,,,,,Q,
91,,,,,,,,,,,Q,
92,,,,,,,,,,,Q,
93,,,,,,,,,,,Q,
94,,,,,,,,,,,Q,
95,,,,,,,,,,,Q,
96,,,,,,,,,,,Q,
97,,,,,,,,,,,Q,
98,,,,,,,,,,,Q,
99,,,,,,,,,,,Q,
100,,,,,,,,,,,Q,
