element,n_pairs,percent_agreement,alpha,alpha_ci_low,alpha_ci_high,De,prevalence_Q,prevalence_X
E_TEXT,100,1.0,1.0,1.0,1.0,0.2688,0.16,0.16
E_MODEL,100,1.0,1.0,1.0,1.0,0.0768,0.04,0.04
E_POLICYEVAL,100,1.0,1.0,1.0,1.0,0.1472,0.08,0.08
E_CASE,100,0.97,0.9316239316239315,0.851190476190476,1.0,0.43875000000000003,0.69,0.66
E_EXP,100,0.99,0.9037999037999037,0.5558845299777938,1.0,0.10395,0.05,0.06
E_SURVEY,100,0.99,0.7948717948717947,-0.010101010101010832,1.0,0.04875,0.03,0.02
E_STAT,100,0.97,0.38461538461538414,-0.030927835051547392,1.0,0.04875,0.01,0.04
E_MIXED,100,0.91,-0.04712041884816709,-0.08108108108108114,-0.020408163265307033,0.08595,0.0,0.09
E_NORM,100,0.44,-0.12721417069243146,-0.32290839830334234,0.07852564102564108,0.4968000000000001,0.31,0.77
E_ETHNO,100,1.0,,,,0.0,0.0,0.0
