paper_id,MethodTag,MethodFamily,Methodology,PolicySalience,PoliticalSensitivity,SecrecyConstraint,DataAccess,coder_notes
201,40,901,3,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
202,30,903,5,2,2,0,0,PolicySalience=2[对策]; PoliticalSensitivity=2[公共安全]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
203,40,901,3,3,0,0,0,PolicySalience=3[立法]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
204,40,901,3,0,3,0,0,PolicySalience=0; PoliticalSensitivity=3[社会稳定]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
205,20,904,3,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[台湾]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
206,40,901,3,2,3,3,0,PolicySalience=2[对策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
207,10,909,1,3,3,3,0,PolicySalience=3[条款]; PoliticalSensitivity=3[间谍]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
208,20,906,3,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[颜色革命]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
209,20,904,3,1,3,0,0,PolicySalience=1[战略]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
210,20,904,3,3,3,3,2,PolicySalience=3[流程]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=2[内容分析]; MT=20; MY=3; MF9=904
211,10,909,1,3,3,0,0,PolicySalience=3[规定]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
212,20,904,4,2,3,3,0,PolicySalience=2[完善]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=4; MF9=904
213,20,906,4,2,3,0,2,PolicySalience=2[模式]; PoliticalSensitivity=3[国防]; SecrecyConstraint=0; DataAccess=2[样本]; MT=20; MY=4; MF9=906
214,20,904,3,1,0,0,0,PolicySalience=1[政策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
215,40,901,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
216,10,909,1,3,3,0,0,PolicySalience=3[立法]; PoliticalSensitivity=3[对抗]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
