paper_id,year,topic,MethodTag,MethodFamily,Methodology,PolicySalience,PoliticalSensitivity,SecrecyConstraint,DataAccess,coder_notes
1,2022,3,40,901,3,2,3,0,2,PolicySalience=2[对策]; PoliticalSensitivity=3[国防]; SecrecyConstraint=0; DataAccess=2[编码\b]; MT=40; MY=3; MF9=901
2,2022,3,40,905,3,2,0,0,0,PolicySalience=2[路径]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=905
3,2022,1,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
4,2022,2,10,909,1,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
5,2022,1,10,909,1,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
6,2022,1,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[台海]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
7,2022,1,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[香港]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
8,2022,2,30,903,5,3,3,0,0,PolicySalience=3[标准]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
9,2022,3,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
10,2022,3,20,904,3,2,3,3,0,PolicySalience=2[路径]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
11,2022,4,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
12,2022,3,20,904,3,2,3,0,3,PolicySalience=2[框架]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=20; MY=3; MF9=904
13,2022,3,20,904,3,3,0,0,0,PolicySalience=3[指南]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
14,2022,3,20,904,3,3,0,1,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=1[白皮书]; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
