year,diversity_1_minus_hhi
1999,0.5
2000,0.6399999999999999
2001,0.5
2002,0.625
2003,0.5
2004,0.6399999999999999
2005,0.31999999999999984
2006,0.6111111111111109
2007,0.4765625
2008,0.6574394463667821
2009,0.616780045351474
2010,0.6484375
2011,0.625
2012,0.6484375
2013,0.6133333333333333
2014,0.6358024691358024
2015,0.6479289940828403
2016,0.6540642722117203
2017,0.588235294117647
2018,0.6639231824417009
2019,0.6249999999999999
2020,0.4244897959183672
2021,0.5950413223140496
2022,0.5406858710562414
2023,0.673828125
2024,0.5359375000000002
2025,0.6867820069204152
