u,v,freq
PoliticalSensitivity,SecrecyConstraint,1.0
YearBin,PolicySalience,1.0
E_CASE,E_EXP,0.75
E_CASE,E_POLICYEVAL,0.66
YearBin,DataAccess,0.655
E_CASE,E_TEXT,0.57
E_SURVEY,E_STAT,0.57
E_NORM,E_CASE,0.555
E_CASE,E_MODEL,0.495
E_CASE,E_NORM,0.445
YearBin,E_CASE,0.435
E_TEXT,E_CASE,0.415
PolicySalience,E_NORM,0.37
YearBin,PoliticalSensitivity,0.235
E_EXP,E_MODEL,0.22
E_NORM,E_POLICYEVAL,0.205
E_NORM,E_TEXT,0.19
E_CASE,E_SURVEY,0.155
E_TEXT,E_MODEL,0.155
YearBin,E_NORM,0.145
E_MODEL,E_TEXT,0.135
E_STAT,E_SURVEY,0.13
E_TEXT,PoliticalSensitivity,0.12
E_TEXT,E_NORM,0.115
E_POLICYEVAL,E_MODEL,0.085
E_MODEL,E_EXP,0.08
PolicySalience,E_SURVEY,0.075
E_MODEL,E_POLICYEVAL,0.07
topic,PoliticalSensitivity,0.05
E_POLICYEVAL,E_CASE,0.045
E_POLICYEVAL,E_NORM,0.045
PoliticalSensitivity,E_TEXT,0.035
topic,E_NORM,0.035
SecrecyConstraint,E_TEXT,0.03
E_NORM,E_EXP,0.02
YearBin,E_TEXT,0.02
E_MODEL,E_CASE,0.015
E_SURVEY,DataAccess,0.01
E_TEXT,E_POLICYEVAL,0.01
PolicySalience,DataAccess,0.01
PolicySalience,E_STAT,0.01
E_CASE,PoliticalSensitivity,0.005
E_EXP,PoliticalSensitivity,0.005
E_NORM,DataAccess,0.005
E_POLICYEVAL,E_TEXT,0.005
PolicySalience,PoliticalSensitivity,0.005
topic,E_POLICYEVAL,0.005
topic,E_TEXT,0.005
